Organization,Country,Lattitude,Longitude,Industry,Organization_size,Owner,Lead_acquisition_date,Product,Status,Status_sequence,Stage,Stage_sequence,Deal_Value_USD,Probability_pct,Expected_close_date,Actual_close_date,lead_year,lead_month,deal_duration_days,close_delay_days,is_won,is_lost,is_closed,is_open,is_saas,org_size_cat
Klocko-Sporer,Germany,52.520008,13.404954,Agriculture & Mining,Small (11-200),Emily Johnson,2024-02-12,Custom solution,Churned Customer,7,,,721,20,2025-01-10,2024-03-31,2024,2024-02,333,-285.0,False,False,False,False,False,Small (11-200)
Borer Inc,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Michael Brown,2024-02-29,Services,Churned Customer,7,,,768,80,2024-08-18,2024-06-15,2024,2024-02,171,-64.0,False,False,False,False,False,Small (11-200)
"Jacobson, Crist and O'Kon",Austria,48.210033,16.363449,Government Administration Healthcare,Small (11-200),Kevin Anderson,2024-04-11,SAAS,Churned Customer,7,,,741,40,2024-09-19,2024-05-13,2024,2024-04,161,-129.0,False,False,False,False,True,Small (11-200)
Hickle Inc,France,48.864716,2.349014,Professional Services  & Consulting,Small (11-200),Laura Thompson,2024-01-23,SAAS,Churned Customer,7,,,668,70,2024-10-24,2024-04-19,2024,2024-01,275,-188.0,False,False,False,False,True,Small (11-200)
"Zulauf, Osinski and Lakin",Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),Jessica Martinez,2024-03-10,Custom solution,Churned Customer,7,,,406,30,2024-05-24,2024-05-06,2024,2024-03,75,-18.0,False,False,False,False,False,Small (11-200)
"Cruickshank, Lubowitz and Marquardt",Portugal,38.736946,-9.142685,IT & IT Services,Small (11-200),Laura Thompson,2024-04-12,Services,Churned Customer,7,,,1686,40,2024-05-06,2024-04-25,2024,2024-04,24,-11.0,False,False,False,False,False,Small (11-200)
Roberts-Glover,Portugal,38.736946,-9.142685,Professional Services  & Consulting,Small (11-200),Michael Brown,2024-03-15,Services,Churned Customer,7,,,317,40,2024-09-15,2024-07-13,2024,2024-03,184,-64.0,False,False,False,False,False,Small (11-200)
Bauch Group,Netherlands,52.370216,4.895168,Recreation & Sports,Small (11-200),Sarah Davis,2024-01-17,SAAS,Churned Customer,7,,,1813,40,2024-03-28,2024-01-24,2024,2024-01,71,-64.0,False,False,False,False,True,Small (11-200)
"Reynolds, Kunze and Christiansen",Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),David Wilson,2024-01-24,Services,Churned Customer,7,,,1515,40,2024-10-22,2024-02-03,2024,2024-01,272,-262.0,False,False,False,False,False,Small (11-200)
"Skiles, Koepp and Walter",Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Jessica Martinez,2024-04-19,SAAS,Churned Customer,7,,,1569,50,2024-11-05,2024-05-21,2024,2024-04,200,-168.0,False,False,False,False,True,Small (11-200)
Hermiston and Sons,Germany,52.520008,13.404954,Agriculture & Mining,Small (11-200),Sarah Davis,2024-05-06,Custom solution,Churned Customer,7,,,405,40,2025-04-09,2024-06-07,2024,2024-05,338,-306.0,False,False,False,False,False,Small (11-200)
Roberts-Stracke,Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),Laura Thompson,2024-05-30,SAAS,Churned Customer,7,,,1456,60,2024-08-03,2024-06-06,2024,2024-05,65,-58.0,False,False,False,False,True,Small (11-200)
"Frami, Gerlach and Sporer",France,48.864716,2.349014,Professional Services  & Consulting,Small (11-200),David Wilson,2024-05-07,Services,Churned Customer,7,,,217,90,2024-08-04,2024-08-22,2024,2024-05,89,18.0,False,False,False,False,False,Small (11-200)
Schumm-Block,Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),Laura Thompson,2024-02-28,Services,Churned Customer,7,,,426,40,2024-12-17,2024-04-10,2024,2024-02,293,-251.0,False,False,False,False,False,Small (11-200)
"Beahan, Nitzsche and Williamson",Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Sarah Davis,2024-04-25,SAAS,Churned Customer,7,,,1846,60,2025-04-19,2024-07-31,2024,2024-04,359,-262.0,False,False,False,False,True,Small (11-200)
"Bergstrom, Kling and Mayer",Italy,41.902782,12.496366,Retail & Distribution,Small (11-200),Michael Brown,2024-04-19,SAAS,Churned Customer,7,,,1515,40,2025-01-25,2024-07-12,2024,2024-04,281,-197.0,False,False,False,False,True,Small (11-200)
"Stroman, Ritchie and Toy",Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),Sarah Davis,2024-02-21,Services,Churned Customer,7,,,1007,20,2024-10-06,2024-04-01,2024,2024-02,228,-188.0,False,False,False,False,False,Small (11-200)
"Williamson, Smitham and Muller",Switzerland,46.204391,6.143158,Education & Science,Small (11-200),Kevin Anderson,2024-05-03,Services,Churned Customer,7,,,1895,80,2025-02-20,2024-05-14,2024,2024-05,293,-282.0,False,False,False,False,False,Small (11-200)
Kub-Brown,France,48.864716,2.349014,Government Administration Healthcare,Small (11-200),Jessica Martinez,2024-03-27,Services,Churned Customer,7,,,748,50,2024-08-30,2024-07-16,2024,2024-03,156,-45.0,False,False,False,False,False,Small (11-200)
Medhurst Group,Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),Michael Brown,2024-01-05,SAAS,Churned Customer,7,,,726,10,2024-06-13,2024-03-20,2024,2024-01,160,-85.0,False,False,False,False,True,Small (11-200)
Murray-Lehner,Switzerland,46.204391,6.143158,Construction & Engineering,Small (11-200),Laura Thompson,2024-02-12,SAAS,Churned Customer,7,,,634,60,2024-03-30,2024-02-27,2024,2024-02,47,-32.0,False,False,False,False,True,Small (11-200)
"McLaughlin, Effertz and Swift",Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Laura Thompson,2024-02-19,Custom solution,Churned Customer,7,,,586,60,2024-11-01,2024-06-13,2024,2024-02,256,-141.0,False,False,False,False,False,Small (11-200)
Shields LLC,Italy,41.902782,12.496366,Telecommunications,Small (11-200),Sarah Davis,2024-05-13,Services,Churned Customer,7,,,1936,20,2024-12-17,2024-08-22,2024,2024-05,218,-117.0,False,False,False,False,False,Small (11-200)
Koch Group,Germany,52.520008,13.404954,Government Administration Healthcare,Small (11-200),Michael Brown,2024-03-21,Custom solution,Churned Customer,7,,,1620,40,2024-08-24,2024-05-13,2024,2024-03,156,-103.0,False,False,False,False,False,Small (11-200)
Langosh Group,Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Kevin Anderson,2024-02-04,SAAS,Churned Customer,7,,,287,10,2024-12-05,2024-02-14,2024,2024-02,305,-295.0,False,False,False,False,True,Small (11-200)
"Wiegand, Friesen and Ortiz",Austria,48.210033,16.363449,Banking and Finance,Small (11-200),Jessica Martinez,2024-05-15,Custom solution,Churned Customer,7,,,1828,50,2024-10-07,2024-08-29,2024,2024-05,145,-39.0,False,False,False,False,False,Small (11-200)
Ward-Schinner,Italy,41.902782,12.496366,Recreation & Sports,Small (11-200),Laura Thompson,2024-02-15,SAAS,Churned Customer,7,,,453,40,2024-12-03,2024-04-26,2024,2024-02,292,-221.0,False,False,False,False,True,Small (11-200)
"Kub, Hintz and Simonis",France,48.864716,2.349014,Education & Science,Small (11-200),Laura Thompson,2024-03-30,Services,Churned Customer,7,,,835,70,2024-08-14,2024-05-23,2024,2024-03,137,-83.0,False,False,False,False,False,Small (11-200)
Greenfelder-Klocko,Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Jessica Martinez,2024-02-27,SAAS,Churned Customer,7,,,1924,30,2024-03-19,2024-06-18,2024,2024-02,21,91.0,False,False,False,False,True,Small (11-200)
"Rice, Walker and Hermiston",Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Emily Johnson,2024-01-17,SAAS,Churned Customer,7,,,1020,20,2024-05-31,2024-03-26,2024,2024-01,135,-66.0,False,False,False,False,True,Small (11-200)
"Frami, Brekke and Crooks",Austria,48.210033,16.363449,Energy & Utilities,Small (11-200),David Wilson,2024-04-30,SAAS,Churned Customer,7,,,543,30,2024-06-21,2024-07-12,2024,2024-04,52,21.0,False,False,False,False,True,Small (11-200)
"Cassin, Windler and Friesen",Switzerland,46.204391,6.143158,Construction & Engineering,Small (11-200),Laura Thompson,2024-03-28,SAAS,Churned Customer,7,,,1984,20,2024-12-31,2024-05-29,2024,2024-03,278,-216.0,False,False,False,False,True,Small (11-200)
"Greenfelder, O'Reilly and Dietrich",Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),Emily Johnson,2024-01-19,SAAS,Churned Customer,7,,,349,50,2024-04-22,2024-02-07,2024,2024-01,94,-75.0,False,False,False,False,True,Small (11-200)
"Kris, Brekke and Gulgowski",Switzerland,46.204391,6.143158,Telecommunications,Small (11-200),Michael Brown,2024-01-07,SAAS,Churned Customer,7,,,1790,90,2024-12-14,2024-02-13,2024,2024-01,342,-305.0,False,False,False,False,True,Small (11-200)
Adams and Sons,Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Michael Brown,2024-02-13,SAAS,Churned Customer,7,,,1606,40,2024-11-01,2024-05-09,2024,2024-02,262,-176.0,False,False,False,False,True,Small (11-200)
"Kunze, O'Reilly and Von",Switzerland,46.204391,6.143158,Retail & Distribution,Small (11-200),Laura Thompson,2024-04-08,SAAS,Churned Customer,7,,,716,40,2025-03-11,2024-07-13,2024,2024-04,337,-241.0,False,False,False,False,True,Small (11-200)
Rempel and Sons,Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),David Wilson,2024-01-25,SAAS,Churned Customer,7,,,1883,20,2024-10-13,2024-04-17,2024,2024-01,262,-179.0,False,False,False,False,True,Small (11-200)
Smitham-Sipes,Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Laura Thompson,2024-01-06,Services,Churned Customer,7,,,233,10,2024-11-12,2024-02-10,2024,2024-01,311,-276.0,False,False,False,False,False,Small (11-200)
Krajcik-Tromp,Italy,41.902782,12.496366,Manufacturing & Production,Small (11-200),Laura Thompson,2024-05-06,SAAS,Churned Customer,7,,,854,60,2024-12-28,2024-08-10,2024,2024-05,236,-140.0,False,False,False,False,True,Small (11-200)
"Gusikowski, Erdman and Ryan",Italy,41.902782,12.496366,Education & Science,Small (11-200),Jessica Martinez,2024-05-21,Services,Churned Customer,7,,,1249,80,2025-03-17,2024-06-29,2024,2024-05,300,-261.0,False,False,False,False,False,Small (11-200)
"Renner, Bashirian and Lind",Switzerland,46.204391,6.143158,Construction & Engineering,Small (11-200),Laura Thompson,2024-03-21,SAAS,Churned Customer,7,,,1125,30,2024-04-12,2024-06-02,2024,2024-03,22,51.0,False,False,False,False,True,Small (11-200)
"Spencer, Jerde and Green",Switzerland,46.204391,6.143158,Entertainment & Media & Hospitality,Small (11-200),John Smith,2024-05-27,SAAS,Churned Customer,7,,,1411,40,2025-03-23,2024-08-29,2024,2024-05,300,-206.0,False,False,False,False,True,Small (11-200)
Maggio-Reynolds,France,48.864716,2.349014,Government Administration Healthcare,Small (11-200),Kevin Anderson,2024-02-03,SAAS,Churned Customer,7,,,1503,30,2025-01-03,2024-04-19,2024,2024-02,335,-259.0,False,False,False,False,True,Small (11-200)
Blognation,Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),Kevin Anderson,2024-05-31,Custom solution,Churned Customer,7,,,206,80,2024-10-10,2024-06-17,2024,2024-05,132,-115.0,False,False,False,False,False,Micro (1-10)
Dablist,Germany,52.520008,13.404954,IT & IT Services,Micro (1-10),Kevin Anderson,2024-01-11,SAAS,Churned Customer,7,,,956,100,2024-04-26,2024-03-07,2024,2024-01,106,-50.0,False,False,False,False,True,Micro (1-10)
Meedoo,Netherlands,52.370216,4.895168,Transportation & Logistics,Micro (1-10),Michael Brown,2024-04-09,SAAS,Churned Customer,7,,,668,40,2024-09-05,2024-04-27,2024,2024-04,149,-131.0,False,False,False,False,True,Micro (1-10)
Runte Group,Austria,48.210033,16.363449,Retail & Distribution,Micro (1-10),Kevin Anderson,2024-05-08,Services,Churned Customer,7,,,721,30,2025-02-22,2024-07-20,2024,2024-05,290,-217.0,False,False,False,False,False,Micro (1-10)
VonRueden Inc,Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),Laura Thompson,2024-03-03,Services,Churned Customer,7,,,320,20,2024-10-21,2024-03-23,2024,2024-03,232,-212.0,False,False,False,False,False,Micro (1-10)
Treutel-Willms,Italy,41.902782,12.496366,Banking and Finance,Micro (1-10),David Wilson,2024-05-17,Custom solution,Churned Customer,7,,,1074,90,2024-12-21,2024-08-15,2024,2024-05,218,-128.0,False,False,False,False,False,Micro (1-10)
"Medhurst, Weber and Waters",Italy,41.902782,12.496366,Construction & Engineering,Micro (1-10),John Smith,2024-02-15,SAAS,Churned Customer,7,,,480,70,2025-02-07,2024-05-13,2024,2024-02,358,-270.0,False,False,False,False,True,Micro (1-10)
Hansen LLC,Spain,40.416775,-3.70379,Professional Services  & Consulting,Micro (1-10),Laura Thompson,2024-01-05,Services,Churned Customer,7,,,392,20,2024-01-26,2024-03-13,2024,2024-01,21,47.0,False,False,False,False,False,Micro (1-10)
Bechtelar-Heidenreich,Italy,41.902782,12.496366,Banking and Finance,Micro (1-10),Michael Brown,2024-03-25,Services,Churned Customer,7,,,846,40,2024-08-27,2024-06-02,2024,2024-03,155,-86.0,False,False,False,False,False,Micro (1-10)
"Rosenbaum, Breitenberg and Langworth",Switzerland,46.204391,6.143158,IT & IT Services,Micro (1-10),Emily Johnson,2024-04-30,SAAS,Churned Customer,7,,,968,50,2025-01-24,2024-08-03,2024,2024-04,269,-174.0,False,False,False,False,True,Micro (1-10)
Kunde Group,Spain,40.416775,-3.70379,Agriculture & Mining,Micro (1-10),Laura Thompson,2024-01-04,Services,Churned Customer,7,,,1068,40,2024-11-12,2024-03-18,2024,2024-01,313,-239.0,False,False,False,False,False,Micro (1-10)
Abernathy and Sons,France,48.864716,2.349014,Agriculture & Mining,Micro (1-10),Laura Thompson,2024-03-27,Services,Churned Customer,7,,,617,30,2024-12-02,2024-04-01,2024,2024-03,250,-245.0,False,False,False,False,False,Micro (1-10)
"Erdman, Wilkinson and Stracke",Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),Kevin Anderson,2024-01-04,Services,Churned Customer,7,,,888,30,2024-05-08,2024-02-04,2024,2024-01,125,-94.0,False,False,False,False,False,Micro (1-10)
"Bogisich, Denesik and Crona",Spain,40.416775,-3.70379,IT & IT Services,Micro (1-10),Michael Brown,2024-04-15,Custom solution,Churned Customer,7,,,364,30,2024-05-29,2024-08-12,2024,2024-04,44,75.0,False,False,False,False,False,Micro (1-10)
Davis-Schuppe,Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),Jessica Martinez,2024-04-15,Services,Churned Customer,7,,,856,60,2024-09-29,2024-07-11,2024,2024-04,167,-80.0,False,False,False,False,False,Micro (1-10)
Huel-Dooley,Belgium,51.260197,4.402771,Banking and Finance,Micro (1-10),Sarah Davis,2024-02-10,SAAS,Churned Customer,7,,,555,40,2024-07-27,2024-03-18,2024,2024-02,168,-131.0,False,False,False,False,True,Micro (1-10)
Bergstrom LLC,Portugal,38.736946,-9.142685,Transportation & Logistics,Micro (1-10),Jessica Martinez,2024-04-04,Services,Churned Customer,7,,,1035,70,2024-08-20,2024-07-25,2024,2024-04,138,-26.0,False,False,False,False,False,Micro (1-10)
"Considine, Collins and Hudson",Portugal,38.736946,-9.142685,Entertainment & Media & Hospitality,Micro (1-10),Jessica Martinez,2024-02-25,SAAS,Churned Customer,7,,,566,30,2024-12-09,2024-06-01,2024,2024-02,288,-191.0,False,False,False,False,True,Micro (1-10)
Kunde-Lindgren,Netherlands,52.370216,4.895168,Telecommunications,Micro (1-10),Jessica Martinez,2024-01-18,Services,Churned Customer,7,,,722,90,2024-11-04,2024-05-03,2024,2024-01,291,-185.0,False,False,False,False,False,Micro (1-10)
Crooks Group,France,48.864716,2.349014,Telecommunications,Micro (1-10),Laura Thompson,2024-01-16,Services,Churned Customer,7,,,1000,80,2024-04-15,2024-02-03,2024,2024-01,90,-72.0,False,False,False,False,False,Micro (1-10)
O'Conner Group,Italy,41.902782,12.496366,Agriculture & Mining,Micro (1-10),Michael Brown,2024-02-18,Custom solution,Churned Customer,7,,,898,60,2024-03-27,2024-04-13,2024,2024-02,38,17.0,False,False,False,False,False,Micro (1-10)
Bogan-Goyette,Netherlands,52.370216,4.895168,Telecommunications,Micro (1-10),Laura Thompson,2024-05-23,Services,Churned Customer,7,,,786,30,2024-12-03,2024-09-10,2024,2024-05,194,-84.0,False,False,False,False,False,Micro (1-10)
"Hilll, Runolfsdottir and Barrows",Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),Emily Johnson,2024-02-23,SAAS,Churned Customer,7,,,843,40,2024-06-29,2024-06-16,2024,2024-02,127,-13.0,False,False,False,False,True,Micro (1-10)
"Lubowitz, McClure and Hettinger",Spain,40.416775,-3.70379,IT & IT Services,Micro (1-10),Kevin Anderson,2024-05-01,SAAS,Churned Customer,7,,,608,20,2025-03-16,2024-08-20,2024,2024-05,319,-208.0,False,False,False,False,True,Micro (1-10)
Herman LLC,Italy,41.902782,12.496366,IT & IT Services,Micro (1-10),Laura Thompson,2024-01-05,Services,Churned Customer,7,,,285,20,2024-07-16,2024-01-22,2024,2024-01,193,-176.0,False,False,False,False,False,Micro (1-10)
Bednar-Schuppe,Portugal,38.736946,-9.142685,Retail & Distribution,Micro (1-10),Jessica Martinez,2024-03-15,Custom solution,Churned Customer,7,,,950,20,2024-12-25,2024-07-06,2024,2024-03,285,-172.0,False,False,False,False,False,Micro (1-10)
Reynolds-Olson,Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),Jessica Martinez,2024-04-06,SAAS,Churned Customer,7,,,1095,40,2024-09-20,2024-04-06,2024,2024-04,167,-167.0,False,False,False,False,True,Micro (1-10)
"Jacobi, Johnson and Harris",France,48.864716,2.349014,Government Administration Healthcare,Micro (1-10),Laura Thompson,2024-05-21,Services,Churned Customer,7,,,668,90,2024-08-20,2024-08-07,2024,2024-05,91,-13.0,False,False,False,False,False,Micro (1-10)
Beatty Group,Belgium,51.260197,4.402771,Banking and Finance,Micro (1-10),Laura Thompson,2024-01-26,Services,Churned Customer,7,,,993,50,2024-09-29,2024-02-14,2024,2024-01,247,-228.0,False,False,False,False,False,Micro (1-10)
"Hettinger, Kuhic and Dooley",Germany,52.520008,13.404954,Banking and Finance,Micro (1-10),John Smith,2024-02-07,SAAS,Churned Customer,7,,,670,50,2024-04-09,2024-04-01,2024,2024-02,62,-8.0,False,False,False,False,True,Micro (1-10)
O'Kon-Fay,France,48.864716,2.349014,Banking and Finance,Micro (1-10),Jessica Martinez,2024-02-13,SAAS,Churned Customer,7,,,442,20,2024-09-08,2024-05-24,2024,2024-02,208,-107.0,False,False,False,False,True,Micro (1-10)
Leuschke LLC,Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),Laura Thompson,2024-01-31,Custom solution,Churned Customer,7,,,375,70,2024-07-16,2024-03-13,2024,2024-01,167,-125.0,False,False,False,False,False,Micro (1-10)
"Dooley, Stracke and Wiegand",Italy,41.902782,12.496366,Energy & Utilities,Micro (1-10),Kevin Anderson,2024-02-28,SAAS,Churned Customer,7,,,258,40,2025-01-12,2024-04-19,2024,2024-02,319,-268.0,False,False,False,False,True,Micro (1-10)
Heathcote-Ryan,Portugal,38.736946,-9.142685,Education & Science,Micro (1-10),Michael Brown,2024-04-26,SAAS,Churned Customer,7,,,663,40,2025-02-17,2024-05-29,2024,2024-04,297,-264.0,False,False,False,False,True,Micro (1-10)
"Leuschke, Mohr and Rolfson",Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),John Smith,2024-03-11,Services,Churned Customer,7,,,1039,70,2024-12-13,2024-06-14,2024,2024-03,277,-182.0,False,False,False,False,False,Micro (1-10)
Reinger and Sons,Austria,48.210033,16.363449,Banking and Finance,Micro (1-10),Jessica Martinez,2024-01-13,SAAS,Churned Customer,7,,,991,40,2024-04-30,2024-03-26,2024,2024-01,108,-35.0,False,False,False,False,True,Micro (1-10)
Klocko Group,Switzerland,46.204391,6.143158,Transportation & Logistics,Micro (1-10),Jessica Martinez,2024-01-06,SAAS,Churned Customer,7,,,820,20,2024-10-24,2024-02-09,2024,2024-01,292,-258.0,False,False,False,False,True,Micro (1-10)
"Koch, Kerluke and Kuphal",Portugal,38.736946,-9.142685,Transportation & Logistics,Micro (1-10),Laura Thompson,2024-02-20,SAAS,Churned Customer,7,,,884,100,2025-01-10,2024-04-03,2024,2024-02,325,-282.0,False,False,False,False,True,Micro (1-10)
Wolf Inc,Netherlands,52.370216,4.895168,Energy & Utilities,Micro (1-10),Sarah Davis,2024-02-22,Custom solution,Churned Customer,7,,,1057,60,2025-02-07,2024-06-14,2024,2024-02,351,-238.0,False,False,False,False,False,Micro (1-10)
Hoeger-Jakubowski,France,48.864716,2.349014,Transportation & Logistics,Micro (1-10),Jessica Martinez,2024-05-30,Services,Churned Customer,7,,,654,20,2024-11-02,2024-08-23,2024,2024-05,156,-71.0,False,False,False,False,False,Micro (1-10)
Ziemann LLC,Italy,41.902782,12.496366,Construction & Engineering,Micro (1-10),Jessica Martinez,2024-01-17,SAAS,Churned Customer,7,,,913,50,2024-03-13,2024-02-19,2024,2024-01,56,-23.0,False,False,False,False,True,Micro (1-10)
Flashspan,Spain,40.416775,-3.70379,Telecommunications,Medium (201-500),John Smith,2024-04-25,SAAS,Churned Customer,7,,,5555,50,2025-02-28,2024-04-30,2024,2024-04,309,-304.0,False,False,False,False,True,Medium (201-500)
Wordpedia,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Emily Johnson,2024-04-21,Custom solution,Churned Customer,7,,,5916,10,2024-10-13,2024-06-09,2024,2024-04,175,-126.0,False,False,False,False,False,Medium (201-500)
Quaxo,Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),Michael Brown,2024-02-26,Services,Churned Customer,7,,,1352,20,2024-06-16,2024-04-25,2024,2024-02,111,-52.0,False,False,False,False,False,Medium (201-500)
Skivee,Portugal,38.736946,-9.142685,Recreation & Sports,Medium (201-500),Jessica Martinez,2024-05-04,Custom solution,Churned Customer,7,,,7313,90,2024-05-31,2024-08-21,2024,2024-05,27,82.0,False,False,False,False,False,Medium (201-500)
BlogXS,Spain,40.416775,-3.70379,Construction & Engineering,Medium (201-500),Jessica Martinez,2024-05-13,Custom solution,Churned Customer,7,,,481,50,2024-06-07,2024-06-21,2024,2024-05,25,14.0,False,False,False,False,False,Medium (201-500)
Buzzster,France,48.864716,2.349014,Retail & Distribution,Medium (201-500),Jessica Martinez,2024-02-23,Services,Churned Customer,7,,,5122,20,2024-07-31,2024-03-23,2024,2024-02,159,-130.0,False,False,False,False,False,Medium (201-500)
Wyman-Goodwin,Austria,48.210033,16.363449,Education & Science,Medium (201-500),Laura Thompson,2024-02-01,SAAS,Churned Customer,7,,,7898,30,2024-09-05,2024-03-02,2024,2024-02,217,-187.0,False,False,False,False,True,Medium (201-500)
Cruickshank-Weimann,Switzerland,46.204391,6.143158,IT & IT Services,Medium (201-500),Laura Thompson,2024-03-18,Custom solution,Churned Customer,7,,,5718,30,2024-08-03,2024-06-08,2024,2024-03,138,-56.0,False,False,False,False,False,Medium (201-500)
Schaden-Bode,Switzerland,46.204391,6.143158,Education & Science,Medium (201-500),David Wilson,2024-02-10,Services,Churned Customer,7,,,2849,90,2024-09-15,2024-02-16,2024,2024-02,218,-212.0,False,False,False,False,False,Medium (201-500)
Walker LLC,Spain,40.416775,-3.70379,Professional Services  & Consulting,Medium (201-500),Jessica Martinez,2024-01-12,Services,Churned Customer,7,,,3612,40,2024-07-24,2024-04-02,2024,2024-01,194,-113.0,False,False,False,False,False,Medium (201-500)
"Tremblay, Lebsack and Gerhold",Spain,40.416775,-3.70379,Transportation & Logistics,Medium (201-500),Jessica Martinez,2024-04-05,SAAS,Churned Customer,7,,,1333,20,2024-06-28,2024-06-01,2024,2024-04,84,-27.0,False,False,False,False,True,Medium (201-500)
O'Reilly-Ferry,Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),John Smith,2024-01-18,Services,Churned Customer,7,,,2367,20,2025-01-07,2024-05-12,2024,2024-01,355,-240.0,False,False,False,False,False,Medium (201-500)
Bartoletti-Aufderhar,Germany,52.520008,13.404954,Professional Services  & Consulting,Medium (201-500),David Wilson,2024-04-07,Services,Churned Customer,7,,,3651,40,2024-07-28,2024-04-12,2024,2024-04,112,-107.0,False,False,False,False,False,Medium (201-500)
Kiehn-Kshlerin,Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),Michael Brown,2024-02-23,SAAS,Churned Customer,7,,,1647,10,2025-01-01,2024-05-24,2024,2024-02,313,-222.0,False,False,False,False,True,Medium (201-500)
Haley Group,Spain,40.416775,-3.70379,IT & IT Services,Medium (201-500),John Smith,2024-02-18,SAAS,Churned Customer,7,,,3098,40,2024-11-12,2024-03-01,2024,2024-02,268,-256.0,False,False,False,False,True,Medium (201-500)
